"level","pairIndex","callerId","calleeId","ok","callId","loginMs","createMs","acceptMs","tokenMs","endMs","totalMs","createStatus","acceptStatus","tokenStatus","endStatus","error"
"10","0","L01","L02","True","42e4441d-d4c7-4de6-9776-0e8de682bf26","350","45","1","1","2","5406","201","200","200","200",
"10","1","L03","L04","True","d6ee8457-7749-4779-bf5a-4764bd4ebeb3","351","48","1","1","2","5418","201","200","200","200",
"10","2","L05","L06","True","44ff57d4-ac7f-461c-8116-0745881a382d","326","9","2","2","2","5370","201","200","200","200",
"10","3","L07","L08","True","1bbb0558-932a-453c-bc5a-1fd3f8a7b84e","343","49","1","1","2","5407","201","200","200","200",
"10","4","L09","L10","True","0c35cc84-5052-420d-84f3-3aa8d2780003","329","50","1","1","17","5402","201","200","200","200",
"10","5","L11","L12","True","8ff48533-53c8-4fc9-8b2e-91b1bb5aceed","317","5","2","2","2","5354","201","200","200","200",
"10","6","L13","L14","True","151561a3-2856-41da-8126-8c305d799722","322","9","2","2","2","5345","201","200","200","200",
"10","7","L15","L16","True","ae1e78c5-460a-49f3-954b-7807515e332f","349","3","2","1","2","5370","201","200","200","200",
"10","8","L17","L18","True","0bcd3fa9-a033-4fbf-9abc-25dcc7550691","332","44","2","2","2","5395","201","200","200","200",
"10","9","L19","L20","True","873b50b7-fbef-465c-9143-8c9e99193574","318","44","1","1","2","5373","201","200","200","200",
"15","0","L01","L02","True","79a789b1-c903-4548-a737-701fdb938380","364","7","6","4","2","5389","201","200","200","200",
"15","1","L03","L04","True","4484158a-494c-4a8a-bf5d-70dc2723c6d0","450","43","1","1","2","5511","201","200","200","200",
"15","2","L05","L06","True","9c39a37f-8c55-4cd0-8973-c1d838fdb32e","466","45","1","1","2","5523","201","200","200","200",
"15","3","L07","L08","True","0fd3c935-193f-4ea2-bdaf-f0be5ee34123","427","4","3","3","2","5441","201","200","200","200",
"15","4","L09","L10","True","cfecc82d-a8db-4b45-8648-bc0371cbb6d6","478","45","1","1","2","5530","201","200","200","200",
"15","5","L11","L12","True","68661152-3a9b-4c49-a2e9-456e6b47558a","427","47","1","1","2","5481","201","200","200","200",
