timestamp|name|cpu|memUsage|memPct
2026-08-05T18:30:25.1821397+00:00|livekit-1to1-backend-1|0.06%|56.74MiB / 6.698GiB|0.83%
2026-08-05T18:30:25.1821397+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:30:25.1821397+00:00|livekit-1to1-egress-1|0.10%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:30:25.1821397+00:00|livekit-1to1-livekit-1|0.05%|103.1MiB / 6.698GiB|1.50%
2026-08-05T18:30:25.1821397+00:00|livekit-1to1-redis-1|0.34%|4.879MiB / 6.698GiB|0.07%
2026-08-05T18:30:25.1821397+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:30:25.1821397+00:00|livekit-1to1-cloudflared-1|0.00%|20.3MiB / 6.698GiB|0.30%
2026-08-05T18:30:35.1973274+00:00|livekit-1to1-backend-1|0.06%|57.43MiB / 6.698GiB|0.84%
2026-08-05T18:30:35.1973274+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:30:35.1973274+00:00|livekit-1to1-egress-1|0.08%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:30:35.1973274+00:00|livekit-1to1-livekit-1|0.04%|102.8MiB / 6.698GiB|1.50%
2026-08-05T18:30:35.1973274+00:00|livekit-1to1-redis-1|0.37%|5.129MiB / 6.698GiB|0.07%
2026-08-05T18:30:35.1973274+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:30:35.1973274+00:00|livekit-1to1-cloudflared-1|0.00%|20.3MiB / 6.698GiB|0.30%
2026-08-05T18:30:41.9214903+00:00|livekit-1to1-backend-1|0.06%|57.39MiB / 6.698GiB|0.84%
2026-08-05T18:30:41.9214903+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:30:41.9214903+00:00|livekit-1to1-egress-1|0.08%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:30:41.9214903+00:00|livekit-1to1-livekit-1|0.16%|102.8MiB / 6.698GiB|1.50%
2026-08-05T18:30:41.9214903+00:00|livekit-1to1-redis-1|0.38%|5.125MiB / 6.698GiB|0.07%
2026-08-05T18:30:41.9214903+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:30:41.9214903+00:00|livekit-1to1-cloudflared-1|0.37%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:30:52.1955227+00:00|livekit-1to1-backend-1|0.68%|61.29MiB / 6.698GiB|0.89%
2026-08-05T18:30:52.1955227+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:30:52.1955227+00:00|livekit-1to1-egress-1|0.08%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:30:52.1955227+00:00|livekit-1to1-livekit-1|0.19%|102.8MiB / 6.698GiB|1.50%
2026-08-05T18:30:52.1955227+00:00|livekit-1to1-redis-1|0.38%|4.879MiB / 6.698GiB|0.07%
2026-08-05T18:30:52.1955227+00:00|livekit-1to1-gateway-1|0.03%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:30:52.1955227+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:30:58.2684962+00:00|livekit-1to1-backend-1|0.08%|60.99MiB / 6.698GiB|0.89%
2026-08-05T18:30:58.2684962+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:30:58.2684962+00:00|livekit-1to1-egress-1|0.11%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:30:58.2684962+00:00|livekit-1to1-livekit-1|0.20%|103.1MiB / 6.698GiB|1.50%
2026-08-05T18:30:58.2684962+00:00|livekit-1to1-redis-1|0.39%|4.879MiB / 6.698GiB|0.07%
2026-08-05T18:30:58.2684962+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:30:58.2684962+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:31:08.4243904+00:00|livekit-1to1-backend-1|0.07%|61.83MiB / 6.698GiB|0.90%
2026-08-05T18:31:08.4243904+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:31:08.4243904+00:00|livekit-1to1-egress-1|0.08%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:31:08.4243904+00:00|livekit-1to1-livekit-1|0.20%|102.8MiB / 6.698GiB|1.50%
2026-08-05T18:31:08.4243904+00:00|livekit-1to1-redis-1|0.36%|5.375MiB / 6.698GiB|0.08%
2026-08-05T18:31:08.4243904+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:31:08.4243904+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
