timestamp|name|cpu|memUsage|memPct
2026-08-05T18:31:17.5604323+00:00|livekit-1to1-backend-1|0.10%|61.89MiB / 6.698GiB|0.90%
2026-08-05T18:31:17.5604323+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:31:17.5604323+00:00|livekit-1to1-egress-1|0.08%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:31:17.5604323+00:00|livekit-1to1-livekit-1|78.70%|81.45MiB / 6.698GiB|1.19%
2026-08-05T18:31:17.5604323+00:00|livekit-1to1-redis-1|8.44%|5.406MiB / 6.698GiB|0.08%
2026-08-05T18:31:17.5604323+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:31:17.5604323+00:00|livekit-1to1-cloudflared-1|0.00%|19.94MiB / 6.698GiB|0.29%
2026-08-05T18:31:22.2372892+00:00|livekit-1to1-backend-1|0.26%|61.36MiB / 6.698GiB|0.89%
2026-08-05T18:31:22.2372892+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:31:22.2372892+00:00|livekit-1to1-egress-1|0.08%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:31:22.2372892+00:00|livekit-1to1-livekit-1|12.52%|86.12MiB / 6.698GiB|1.26%
2026-08-05T18:31:22.2372892+00:00|livekit-1to1-redis-1|1.02%|4.918MiB / 6.698GiB|0.07%
2026-08-05T18:31:22.2372892+00:00|livekit-1to1-gateway-1|0.03%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:31:22.2372892+00:00|livekit-1to1-cloudflared-1|0.00%|19.94MiB / 6.698GiB|0.29%
2026-08-05T18:31:26.4016419+00:00|livekit-1to1-backend-1|0.06%|61.36MiB / 6.698GiB|0.89%
2026-08-05T18:31:26.4016419+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:31:26.4016419+00:00|livekit-1to1-egress-1|0.11%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:31:26.4016419+00:00|livekit-1to1-livekit-1|10.62%|86.46MiB / 6.698GiB|1.26%
2026-08-05T18:31:26.4016419+00:00|livekit-1to1-redis-1|0.37%|4.918MiB / 6.698GiB|0.07%
2026-08-05T18:31:26.4016419+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:31:26.4016419+00:00|livekit-1to1-cloudflared-1|0.00%|19.94MiB / 6.698GiB|0.29%
2026-08-05T18:31:31.0552530+00:00|livekit-1to1-backend-1|0.05%|61.36MiB / 6.698GiB|0.89%
2026-08-05T18:31:31.0552530+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:31:31.0552530+00:00|livekit-1to1-egress-1|0.10%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:31:31.0552530+00:00|livekit-1to1-livekit-1|3.91%|86.1MiB / 6.698GiB|1.26%
2026-08-05T18:31:31.0552530+00:00|livekit-1to1-redis-1|0.36%|5.168MiB / 6.698GiB|0.08%
2026-08-05T18:31:31.0552530+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:31:31.0552530+00:00|livekit-1to1-cloudflared-1|0.00%|19.94MiB / 6.698GiB|0.29%
2026-08-05T18:31:35.1165869+00:00|livekit-1to1-backend-1|0.06%|60.91MiB / 6.698GiB|0.89%
2026-08-05T18:31:35.1165869+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:31:35.1165869+00:00|livekit-1to1-egress-1|0.07%|118.7MiB / 6.698GiB|1.73%
2026-08-05T18:31:35.1165869+00:00|livekit-1to1-livekit-1|6.16%|88.32MiB / 6.698GiB|1.29%
2026-08-05T18:31:35.1165869+00:00|livekit-1to1-redis-1|0.35%|4.945MiB / 6.698GiB|0.07%
2026-08-05T18:31:35.1165869+00:00|livekit-1to1-gateway-1|0.00%|11.44MiB / 6.698GiB|0.17%
2026-08-05T18:31:35.1165869+00:00|livekit-1to1-cloudflared-1|0.58%|19.94MiB / 6.698GiB|0.29%
2026-08-05T18:31:39.7441288+00:00|livekit-1to1-backend-1|0.06%|60.91MiB / 6.698GiB|0.89%
2026-08-05T18:31:39.7441288+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:31:39.7441288+00:00|livekit-1to1-egress-1|0.09%|118.7MiB / 6.698GiB|1.73%
