timestamp|name|cpu|memUsage|memPct
2026-08-05T23:44:35.2865623+00:00|livekit-1to1-livekit-1|9.23%|74MiB / 6.698GiB|1.08%
2026-08-05T23:44:35.2865623+00:00|livekit-1to1-backend-1|0.11%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:44:35.2865623+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:44:35.2865623+00:00|livekit-1to1-egress-1|0.06%|118.9MiB / 6.698GiB|1.73%
2026-08-05T23:44:35.2865623+00:00|livekit-1to1-redis-1|0.38%|5.012MiB / 6.698GiB|0.07%
2026-08-05T23:44:35.2865623+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:44:35.2865623+00:00|livekit-1to1-cloudflared-1|0.00%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:44:41.3643321+00:00|livekit-1to1-livekit-1|8.62%|73.9MiB / 6.698GiB|1.08%
2026-08-05T23:44:41.3643321+00:00|livekit-1to1-backend-1|0.07%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:44:41.3643321+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:44:41.3643321+00:00|livekit-1to1-egress-1|0.07%|119.4MiB / 6.698GiB|1.74%
2026-08-05T23:44:41.3643321+00:00|livekit-1to1-redis-1|0.39%|5.016MiB / 6.698GiB|0.07%
2026-08-05T23:44:41.3643321+00:00|livekit-1to1-gateway-1|0.05%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:44:41.3643321+00:00|livekit-1to1-cloudflared-1|0.00%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:44:48.1448135+00:00|livekit-1to1-livekit-1|11.07%|81.84MiB / 6.698GiB|1.19%
2026-08-05T23:44:48.1448135+00:00|livekit-1to1-backend-1|0.05%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:44:48.1448135+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:44:48.1448135+00:00|livekit-1to1-egress-1|0.08%|119.3MiB / 6.698GiB|1.74%
2026-08-05T23:44:48.1448135+00:00|livekit-1to1-redis-1|0.59%|5.043MiB / 6.698GiB|0.07%
2026-08-05T23:44:48.1448135+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:44:48.1448135+00:00|livekit-1to1-cloudflared-1|0.00%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:44:54.3042556+00:00|livekit-1to1-livekit-1|4.15%|81.69MiB / 6.698GiB|1.19%
2026-08-05T23:44:54.3042556+00:00|livekit-1to1-backend-1|0.07%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:44:54.3042556+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:44:54.3042556+00:00|livekit-1to1-egress-1|0.07%|119.4MiB / 6.698GiB|1.74%
2026-08-05T23:44:54.3042556+00:00|livekit-1to1-redis-1|0.70%|5.035MiB / 6.698GiB|0.07%
2026-08-05T23:44:54.3042556+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:44:54.3042556+00:00|livekit-1to1-cloudflared-1|0.00%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:45:00.3800044+00:00|livekit-1to1-livekit-1|5.60%|84.39MiB / 6.698GiB|1.23%
2026-08-05T23:45:00.3800044+00:00|livekit-1to1-backend-1|0.15%|63.2MiB / 6.698GiB|0.92%
2026-08-05T23:45:00.3800044+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:45:00.3800044+00:00|livekit-1to1-egress-1|0.09%|119.7MiB / 6.698GiB|1.75%
2026-08-05T23:45:00.3800044+00:00|livekit-1to1-redis-1|0.52%|5.281MiB / 6.698GiB|0.08%
2026-08-05T23:45:00.3800044+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:45:00.3800044+00:00|livekit-1to1-cloudflared-1|0.06%|20.69MiB / 6.698GiB|0.30%
