timestamp|name|cpu|memUsage|memPct
2026-08-05T23:43:16.6536489+00:00|livekit-1to1-livekit-1|9.28%|54.88MiB / 6.698GiB|0.80%
2026-08-05T23:43:16.6536489+00:00|livekit-1to1-backend-1|0.07%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:43:16.6536489+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:43:16.6536489+00:00|livekit-1to1-egress-1|0.09%|118.9MiB / 6.698GiB|1.73%
2026-08-05T23:43:16.6536489+00:00|livekit-1to1-redis-1|0.58%|4.984MiB / 6.698GiB|0.07%
2026-08-05T23:43:16.6536489+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:43:16.6536489+00:00|livekit-1to1-cloudflared-1|0.04%|20.58MiB / 6.698GiB|0.30%
2026-08-05T23:43:22.7382989+00:00|livekit-1to1-livekit-1|6.74%|55.27MiB / 6.698GiB|0.81%
2026-08-05T23:43:22.7382989+00:00|livekit-1to1-backend-1|0.07%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:43:22.7382989+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:43:22.7382989+00:00|livekit-1to1-egress-1|0.08%|118.9MiB / 6.698GiB|1.73%
2026-08-05T23:43:22.7382989+00:00|livekit-1to1-redis-1|0.41%|5.238MiB / 6.698GiB|0.08%
2026-08-05T23:43:22.7382989+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:43:22.7382989+00:00|livekit-1to1-cloudflared-1|0.00%|20.58MiB / 6.698GiB|0.30%
2026-08-05T23:43:28.8386320+00:00|livekit-1to1-livekit-1|6.68%|55.84MiB / 6.698GiB|0.81%
2026-08-05T23:43:28.8386320+00:00|livekit-1to1-backend-1|0.10%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:43:28.8386320+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:43:28.8386320+00:00|livekit-1to1-egress-1|0.08%|118.9MiB / 6.698GiB|1.73%
2026-08-05T23:43:28.8386320+00:00|livekit-1to1-redis-1|0.38%|5.234MiB / 6.698GiB|0.08%
2026-08-05T23:43:28.8386320+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:43:28.8386320+00:00|livekit-1to1-cloudflared-1|0.00%|20.58MiB / 6.698GiB|0.30%
2026-08-05T23:43:35.4948203+00:00|livekit-1to1-livekit-1|6.88%|48.84MiB / 6.698GiB|0.71%
2026-08-05T23:43:35.4948203+00:00|livekit-1to1-backend-1|0.15%|62.95MiB / 6.698GiB|0.92%
2026-08-05T23:43:35.4948203+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:43:35.4948203+00:00|livekit-1to1-egress-1|0.09%|119.1MiB / 6.698GiB|1.74%
2026-08-05T23:43:35.4948203+00:00|livekit-1to1-redis-1|0.38%|4.969MiB / 6.698GiB|0.07%
2026-08-05T23:43:35.4948203+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:43:35.4948203+00:00|livekit-1to1-cloudflared-1|0.00%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:43:41.5837465+00:00|livekit-1to1-livekit-1|0.30%|48.29MiB / 6.698GiB|0.70%
2026-08-05T23:43:41.5837465+00:00|livekit-1to1-backend-1|0.06%|62.95MiB / 6.698GiB|0.92%
2026-08-05T23:43:41.5837465+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:43:41.5837465+00:00|livekit-1to1-egress-1|0.09%|118.9MiB / 6.698GiB|1.73%
2026-08-05T23:43:41.5837465+00:00|livekit-1to1-redis-1|0.37%|4.965MiB / 6.698GiB|0.07%
2026-08-05T23:43:41.5837465+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:43:41.5837465+00:00|livekit-1to1-cloudflared-1|0.00%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:43:54.5591147+00:00|livekit-1to1-livekit-1|24.02%|62.58MiB / 6.698GiB|0.91%
2026-08-05T23:43:54.5591147+00:00|livekit-1to1-backend-1|0.06%|62.95MiB / 6.698GiB|0.92%
2026-08-05T23:43:54.5591147+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:43:54.5591147+00:00|livekit-1to1-egress-1|0.11%|119.1MiB / 6.698GiB|1.74%
2026-08-05T23:43:54.5591147+00:00|livekit-1to1-redis-1|0.36%|4.957MiB / 6.698GiB|0.07%
2026-08-05T23:43:54.5591147+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:43:54.5591147+00:00|livekit-1to1-cloudflared-1|0.00%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:44:01.2352433+00:00|livekit-1to1-livekit-1|16.72%|63.36MiB / 6.698GiB|0.92%
2026-08-05T23:44:01.2352433+00:00|livekit-1to1-backend-1|0.06%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:44:01.2352433+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:44:01.2352433+00:00|livekit-1to1-egress-1|0.07%|118.9MiB / 6.698GiB|1.73%
2026-08-05T23:44:01.2352433+00:00|livekit-1to1-redis-1|0.33%|4.953MiB / 6.698GiB|0.07%
2026-08-05T23:44:01.2352433+00:00|livekit-1to1-gateway-1|0.42%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:44:01.2352433+00:00|livekit-1to1-cloudflared-1|0.00%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:44:07.7984528+00:00|livekit-1to1-livekit-1|13.21%|69.32MiB / 6.698GiB|1.01%
2026-08-05T23:44:07.7984528+00:00|livekit-1to1-backend-1|0.08%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:44:07.7984528+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:44:07.7984528+00:00|livekit-1to1-egress-1|0.08%|119.1MiB / 6.698GiB|1.74%
2026-08-05T23:44:07.7984528+00:00|livekit-1to1-redis-1|0.39%|5.012MiB / 6.698GiB|0.07%
2026-08-05T23:44:07.7984528+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:44:07.7984528+00:00|livekit-1to1-cloudflared-1|0.06%|20.59MiB / 6.698GiB|0.30%
2026-08-05T23:44:14.4327957+00:00|livekit-1to1-livekit-1|13.81%|73.71MiB / 6.698GiB|1.07%
2026-08-05T23:44:14.4327957+00:00|livekit-1to1-backend-1|0.06%|62.92MiB / 6.698GiB|0.92%
2026-08-05T23:44:14.4327957+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:44:14.4327957+00:00|livekit-1to1-egress-1|0.07%|118.8MiB / 6.698GiB|1.73%
2026-08-05T23:44:14.4327957+00:00|livekit-1to1-redis-1|0.91%|5.262MiB / 6.698GiB|0.08%
