atUtc|ok|bytesIn|bytesOut|packetsIn|packetsOut|dropped|rooms|participants|tracksVideo|lossAvgPct|oooAvgPct|mbpsIn|mbpsOut|mbpsTotal|error
2026-08-05T23:43:06.9993941+00:00|True|63442228|59394728|59944|54957|0|0|0|0|0|0||||
2026-08-05T23:43:13.8713954+00:00|True|63442228|59394728|59944|54957|0|1|4|2|0|0||||
2026-08-05T23:43:24.7811118+00:00|True|69424462|64295063|65561|59466|0|1|4|2|0|0|4.387|3.593|7.98|
2026-08-05T23:43:41.5842645+00:00|True|73920716|69933727|69853|64745|0|1|0|0|0|0|3.025|3.042|6.067|
2026-08-05T23:43:51.8065240+00:00|True|73920716|69933727|69853|64745|0|4|12|6|0|0||||
2026-08-05T23:44:03.2611351+00:00|True|91856669|84600014|86692|78241|0|3|12|6|0|0|12.527|10.243|22.77|
2026-08-05T23:44:20.5071329+00:00|True|105561527|101779584|99768|94341|0|3|0|0|0|0|8.82|8.877|17.697|
2026-08-05T23:44:30.8548356+00:00|True|105561527|101779584|99768|94341|0|8|20|2|0|0||||
2026-08-05T23:44:41.3653772+00:00|True|110541590|107041091|104719|99350|0|5|20|2|0|0|3.791|4.005|7.796|
2026-08-05T23:45:26.5266627+00:00|True|127923728|128078258|121481|119062|0|1|0|0|0|0|3.213|3.779|6.992|
