timestamp|name|cpu|memUsage|memPct
2026-08-05T23:40:39.6602837+00:00|livekit-1to1-livekit-1|8.65%|31.39MiB / 6.698GiB|0.46%
2026-08-05T23:40:39.6602837+00:00|livekit-1to1-backend-1|0.08%|62.95MiB / 6.698GiB|0.92%
2026-08-05T23:40:39.6602837+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:40:39.6602837+00:00|livekit-1to1-egress-1|0.06%|119.2MiB / 6.698GiB|1.74%
2026-08-05T23:40:39.6602837+00:00|livekit-1to1-redis-1|0.43%|5.16MiB / 6.698GiB|0.08%
2026-08-05T23:40:39.6602837+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:40:39.6602837+00:00|livekit-1to1-cloudflared-1|0.00%|20.5MiB / 6.698GiB|0.30%
2026-08-05T23:40:44.3027478+00:00|livekit-1to1-livekit-1|8.10%|32.8MiB / 6.698GiB|0.48%
2026-08-05T23:40:44.3027478+00:00|livekit-1to1-backend-1|0.07%|62.95MiB / 6.698GiB|0.92%
2026-08-05T23:40:44.3027478+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:40:44.3027478+00:00|livekit-1to1-egress-1|0.08%|119MiB / 6.698GiB|1.73%
2026-08-05T23:40:44.3027478+00:00|livekit-1to1-redis-1|0.35%|4.91MiB / 6.698GiB|0.07%
2026-08-05T23:40:44.3027478+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:40:44.3027478+00:00|livekit-1to1-cloudflared-1|0.00%|20.5MiB / 6.698GiB|0.30%
2026-08-05T23:40:48.3539486+00:00|livekit-1to1-livekit-1|6.03%|32.95MiB / 6.698GiB|0.48%
2026-08-05T23:40:48.3539486+00:00|livekit-1to1-backend-1|0.07%|62.95MiB / 6.698GiB|0.92%
2026-08-05T23:40:48.3539486+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:40:48.3539486+00:00|livekit-1to1-egress-1|0.08%|119MiB / 6.698GiB|1.73%
2026-08-05T23:40:48.3539486+00:00|livekit-1to1-redis-1|0.37%|4.91MiB / 6.698GiB|0.07%
2026-08-05T23:40:48.3539486+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:40:48.3539486+00:00|livekit-1to1-cloudflared-1|0.00%|20.5MiB / 6.698GiB|0.30%
2026-08-05T23:40:52.4050491+00:00|livekit-1to1-livekit-1|5.67%|32.9MiB / 6.698GiB|0.48%
2026-08-05T23:40:52.4050491+00:00|livekit-1to1-backend-1|0.05%|62.95MiB / 6.698GiB|0.92%
2026-08-05T23:40:52.4050491+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T23:40:52.4050491+00:00|livekit-1to1-egress-1|0.07%|119MiB / 6.698GiB|1.73%
2026-08-05T23:40:52.4050491+00:00|livekit-1to1-redis-1|0.34%|5.16MiB / 6.698GiB|0.08%
2026-08-05T23:40:52.4050491+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-05T23:40:52.4050491+00:00|livekit-1to1-cloudflared-1|0.00%|20.5MiB / 6.698GiB|0.30%
