atUtc|ok|bytesIn|bytesOut|packetsIn|packetsOut|dropped|rooms|participants|tracksVideo|lossAvgPct|oooAvgPct|mbpsIn|mbpsOut|mbpsTotal|error
2026-08-05T23:40:30.8285803+00:00|True|5962243|17336|5581|45|0|0|0|0|0|0||||
2026-08-05T23:40:37.1298253+00:00|True|5962243|17336|5581|45|0|1|4|2|0|0||||
2026-08-05T23:40:48.3544621+00:00|True|11944550|5106703|11199|4721|0|1|4|2|0|0|4.264|3.627|7.891|
2026-08-05T23:41:06.7231387+00:00|True|17519264|12720171|16383|11647|0|1|0|0|0|0|3.124|3.434|6.558|
2026-08-05T23:41:16.1132623+00:00|True|17519264|12720171|16383|11647|0|4|12|6|0|0||||
2026-08-05T23:41:26.6696423+00:00|True|35442770|27648556|33214|25364|0|3|12|6|0|0|13.583|11.313|24.896|
2026-08-05T23:41:44.8226383+00:00|True|54020306|47760737|50646|43910|0|3|0|0|0|0|10.171|9.764|19.935|
2026-08-05T23:41:53.9767613+00:00|True|54020306|47760737|50646|43910|0|8|20|1|0|0||||
2026-08-05T23:42:05.7606285+00:00|True|56620763|50480255|53304|46605|0|5|20|1|0|0|1.765|1.846|3.611|
2026-08-05T23:42:23.5321444+00:00|True|63442228|59394728|59944|54957|0|5|0|0|0|0|2.55|3.149|5.699|
