timestamp|name|cpu|memUsage|memPct
2026-08-06T00:12:19.0955403+00:00|livekit-1to1-livekit-1|8.30%|46.21MiB / 6.698GiB|0.67%
2026-08-06T00:12:19.0955403+00:00|livekit-1to1-backend-1|0.06%|62.95MiB / 6.698GiB|0.92%
2026-08-06T00:12:19.0955403+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-06T00:12:19.0955403+00:00|livekit-1to1-egress-1|0.07%|118.8MiB / 6.698GiB|1.73%
2026-08-06T00:12:19.0955403+00:00|livekit-1to1-redis-1|0.51%|5.254MiB / 6.698GiB|0.08%
2026-08-06T00:12:19.0955403+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-06T00:12:19.0955403+00:00|livekit-1to1-cloudflared-1|0.00%|20.34MiB / 6.698GiB|0.30%
2026-08-06T00:12:25.8619363+00:00|livekit-1to1-livekit-1|5.83%|46.66MiB / 6.698GiB|0.68%
2026-08-06T00:12:25.8619363+00:00|livekit-1to1-backend-1|0.06%|62.98MiB / 6.698GiB|0.92%
2026-08-06T00:12:25.8619363+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-06T00:12:25.8619363+00:00|livekit-1to1-egress-1|0.07%|118.8MiB / 6.698GiB|1.73%
2026-08-06T00:12:25.8619363+00:00|livekit-1to1-redis-1|0.39%|5.008MiB / 6.698GiB|0.07%
2026-08-06T00:12:25.8619363+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-06T00:12:25.8619363+00:00|livekit-1to1-cloudflared-1|0.48%|20.33MiB / 6.698GiB|0.30%
2026-08-06T00:12:31.9371528+00:00|livekit-1to1-livekit-1|0.26%|46.06MiB / 6.698GiB|0.67%
2026-08-06T00:12:31.9371528+00:00|livekit-1to1-backend-1|0.06%|62.98MiB / 6.698GiB|0.92%
2026-08-06T00:12:31.9371528+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-06T00:12:31.9371528+00:00|livekit-1to1-egress-1|0.08%|118.8MiB / 6.698GiB|1.73%
2026-08-06T00:12:31.9371528+00:00|livekit-1to1-redis-1|0.39%|5.004MiB / 6.698GiB|0.07%
2026-08-06T00:12:31.9371528+00:00|livekit-1to1-gateway-1|0.00%|11.39MiB / 6.698GiB|0.17%
2026-08-06T00:12:31.9371528+00:00|livekit-1to1-cloudflared-1|0.00%|20.33MiB / 6.698GiB|0.30%
