"level","pairIndex","callerId","calleeId","ok","callId","loginMs","createMs","acceptMs","tokenMs","endMs","totalMs","createStatus","acceptStatus","tokenStatus","endStatus","error"
"1","0","L01","L02","True","7979e6f0-8d14-4ef2-86f7-04e22076944a","168","6","2","20","3","6219","201","200","200","200",
"2","0","L01","L02","True","28cb0dcb-9ba9-4d63-b1e8-bcee3fc67749","160","3","1","1","2","6182","201","200","200","200",
"2","1","L03","L04","True","03487920-c7cd-403d-bfc8-22e4e2ef52f0","120","3","1","1","3","6131","201","200","200","200",
"3","0","L01","L02","True","7fa42f9c-bde8-4043-aa12-59592c3073d3","175","3","1","1","7","6202","201","200","200","200",
"3","1","L03","L04","True","32f1231e-793d-4e73-80c8-6fed0cd15fdd","164","3","1","1","2","6181","201","200","200","200",
"3","2","L05","L06","True","d28c37a1-0bc9-45ea-b2f9-b1916677fd0c","137","3","1","1","3","6160","201","200","200","200",
"5","0","L01","L02","True","fb4d3169-8f89-4b4a-9bda-f1fe011e5e19","208","3","1","1","2","6231","201","200","200","200",
"5","1","L03","L04","True","4e5c307b-5375-446a-a0cf-22ed3bef08e8","213","46","1","1","2","6275","201","200","200","200",
"5","2","L05","L06","True","d0abd98c-ebba-44d4-950b-1e7fd190a8c3","219","45","1","1","2","6280","201","200","200","200",
"5","3","L07","L08","True","df2ca5c3-f150-45e2-8146-bd4d814a6cf0","135","4","1","1","3","6154","201","200","200","200",
"5","4","L09","L10","True","c15ee204-e7ec-42c5-a75c-7303dc775195","149","43","1","1","2","6211","201","200","200","200",
"8","0","L01","L02","True","1d0f3143-fb66-4bbd-aaa6-2f329121774e","247","3","1","1","2","6264","201","200","200","200",
"8","1","L03","L04","True","d0e2fd93-ac89-4a0a-ab13-9663d2a87a6a","244","4","1","1","2","6262","201","200","200","200",
"8","2","L05","L06","True","ef3c828f-1ba7-4a14-9b13-1a3ea36d157f","192","3","1","1","2","6211","201","200","200","200",
"8","3","L07","L08","True","ee993806-f814-485e-82b3-76640271d4a8","236","3","1","1","2","6253","201","200","200","200",
"8","4","L09","L10","True","ac08224e-24d7-410f-b441-cbcbb0d22221","191","45","1","1","2","6248","201","200","200","200",
"8","5","L11","L12","True","be3f7bce-0d8b-457a-ab43-a1a4bcdb8d47","201","44","1","1","2","6260","201","200","200","200",
"8","6","L13","L14","True","e90e00b2-43ac-4f5d-b962-b7469fd0d621","192","3","1","1","2","6209","201","200","200","200",
"8","7","L15","L16","True","2696f922-10e3-4824-adbb-710920a863b5","199","4","1","1","1","6220","201","200","200","200",
