timestamp|name|cpu|memUsage|memPct
2026-08-05T18:26:01.2174245+00:00|livekit-1to1-backend-1|0.08%|53.57MiB / 6.698GiB|0.78%
2026-08-05T18:26:01.2174245+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:26:01.2174245+00:00|livekit-1to1-egress-1|0.08%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:26:01.2174245+00:00|livekit-1to1-livekit-1|0.07%|102.2MiB / 6.698GiB|1.49%
2026-08-05T18:26:01.2174245+00:00|livekit-1to1-redis-1|0.41%|4.855MiB / 6.698GiB|0.07%
2026-08-05T18:26:01.2174245+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:26:01.2174245+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:26:11.9960922+00:00|livekit-1to1-backend-1|0.12%|53.74MiB / 6.698GiB|0.78%
2026-08-05T18:26:11.9960922+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:26:11.9960922+00:00|livekit-1to1-egress-1|0.09%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:26:11.9960922+00:00|livekit-1to1-livekit-1|0.22%|102MiB / 6.698GiB|1.49%
2026-08-05T18:26:11.9960922+00:00|livekit-1to1-redis-1|0.42%|5.105MiB / 6.698GiB|0.07%
2026-08-05T18:26:11.9960922+00:00|livekit-1to1-gateway-1|0.05%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:26:11.9960922+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:26:18.0986054+00:00|livekit-1to1-backend-1|0.07%|53.7MiB / 6.698GiB|0.78%
2026-08-05T18:26:18.0986054+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:26:18.0986054+00:00|livekit-1to1-egress-1|0.09%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:26:18.0986054+00:00|livekit-1to1-livekit-1|0.30%|102MiB / 6.698GiB|1.49%
2026-08-05T18:26:18.0986054+00:00|livekit-1to1-redis-1|0.46%|4.855MiB / 6.698GiB|0.07%
2026-08-05T18:26:18.0986054+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:26:18.0986054+00:00|livekit-1to1-cloudflared-1|0.08%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:26:28.2804199+00:00|livekit-1to1-backend-1|0.06%|54.41MiB / 6.698GiB|0.79%
2026-08-05T18:26:28.2804199+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
