timestamp|name|cpu|memUsage|memPct
2026-08-05T18:27:26.3188684+00:00|livekit-1to1-backend-1|0.07%|55.64MiB / 6.698GiB|0.81%
2026-08-05T18:27:26.3188684+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:27:26.3188684+00:00|livekit-1to1-egress-1|0.06%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:27:26.3188684+00:00|livekit-1to1-livekit-1|4.08%|89.07MiB / 6.698GiB|1.30%
2026-08-05T18:27:26.3188684+00:00|livekit-1to1-redis-1|0.61%|4.859MiB / 6.698GiB|0.07%
2026-08-05T18:27:26.3188684+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:27:26.3188684+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:27:30.9646148+00:00|livekit-1to1-backend-1|0.06%|55.64MiB / 6.698GiB|0.81%
2026-08-05T18:27:30.9646148+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:27:30.9646148+00:00|livekit-1to1-egress-1|0.07%|119MiB / 6.698GiB|1.73%
2026-08-05T18:27:30.9646148+00:00|livekit-1to1-livekit-1|6.26%|71.62MiB / 6.698GiB|1.04%
2026-08-05T18:27:30.9646148+00:00|livekit-1to1-redis-1|0.44%|5.105MiB / 6.698GiB|0.07%
2026-08-05T18:27:30.9646148+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:27:30.9646148+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:27:35.0178885+00:00|livekit-1to1-backend-1|0.07%|55.38MiB / 6.698GiB|0.81%
2026-08-05T18:27:35.0178885+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:27:35.0178885+00:00|livekit-1to1-egress-1|0.08%|119MiB / 6.698GiB|1.73%
2026-08-05T18:27:35.0178885+00:00|livekit-1to1-livekit-1|3.63%|71.52MiB / 6.698GiB|1.04%
2026-08-05T18:27:35.0178885+00:00|livekit-1to1-redis-1|0.35%|4.852MiB / 6.698GiB|0.07%
2026-08-05T18:27:35.0178885+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:27:35.0178885+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:27:39.6437267+00:00|livekit-1to1-backend-1|0.07%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:27:39.6437267+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:27:39.6437267+00:00|livekit-1to1-egress-1|0.06%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:27:39.6437267+00:00|livekit-1to1-livekit-1|0.73%|71.83MiB / 6.698GiB|1.05%
2026-08-05T18:27:39.6437267+00:00|livekit-1to1-redis-1|0.34%|4.852MiB / 6.698GiB|0.07%
2026-08-05T18:27:39.6437267+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:27:39.6437267+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:27:43.7021871+00:00|livekit-1to1-backend-1|0.09%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:27:43.7021871+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:27:43.7021871+00:00|livekit-1to1-egress-1|0.06%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:27:43.7021871+00:00|livekit-1to1-livekit-1|1.00%|71.59MiB / 6.698GiB|1.04%
2026-08-05T18:27:43.7021871+00:00|livekit-1to1-redis-1|0.39%|4.859MiB / 6.698GiB|0.07%
2026-08-05T18:27:43.7021871+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:27:43.7021871+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:27:47.7509978+00:00|livekit-1to1-backend-1|0.08%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:27:47.7509978+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:27:47.7509978+00:00|livekit-1to1-egress-1|0.07%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:27:47.7509978+00:00|livekit-1to1-livekit-1|0.96%|72.08MiB / 6.698GiB|1.05%
2026-08-05T18:27:47.7509978+00:00|livekit-1to1-redis-1|0.39%|4.852MiB / 6.698GiB|0.07%
2026-08-05T18:27:47.7509978+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:27:47.7509978+00:00|livekit-1to1-cloudflared-1|0.07%|20.54MiB / 6.698GiB|0.30%
2026-08-05T18:27:52.0214583+00:00|livekit-1to1-backend-1|0.12%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:27:52.0214583+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:27:52.0214583+00:00|livekit-1to1-egress-1|0.05%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:27:52.0214583+00:00|livekit-1to1-livekit-1|0.96%|71.33MiB / 6.698GiB|1.04%
2026-08-05T18:27:52.0214583+00:00|livekit-1to1-redis-1|0.39%|4.859MiB / 6.698GiB|0.07%
2026-08-05T18:27:52.0214583+00:00|livekit-1to1-gateway-1|0.03%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:27:52.0214583+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:27:56.2289608+00:00|livekit-1to1-backend-1|0.07%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:27:56.2289608+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:27:56.2289608+00:00|livekit-1to1-egress-1|0.06%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:27:56.2289608+00:00|livekit-1to1-livekit-1|0.47%|71.3MiB / 6.698GiB|1.04%
2026-08-05T18:27:56.2289608+00:00|livekit-1to1-redis-1|0.38%|5.098MiB / 6.698GiB|0.07%
2026-08-05T18:27:56.2289608+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:27:56.2289608+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:28:01.8771170+00:00|livekit-1to1-backend-1|0.06%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:28:01.8771170+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:28:01.8771170+00:00|livekit-1to1-egress-1|0.06%|118.8MiB / 6.698GiB|1.73%
2026-08-05T18:28:01.8771170+00:00|livekit-1to1-livekit-1|0.34%|71.3MiB / 6.698GiB|1.04%
2026-08-05T18:28:01.8771170+00:00|livekit-1to1-redis-1|0.40%|4.852MiB / 6.698GiB|0.07%
2026-08-05T18:28:01.8771170+00:00|livekit-1to1-gateway-1|0.03%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:28:01.8771170+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:28:09.2759042+00:00|livekit-1to1-backend-1|0.06%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:28:09.2759042+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:28:09.2759042+00:00|livekit-1to1-egress-1|0.06%|118.9MiB / 6.698GiB|1.73%
2026-08-05T18:28:09.2759042+00:00|livekit-1to1-livekit-1|7.22%|76.45MiB / 6.698GiB|1.11%
2026-08-05T18:28:09.2759042+00:00|livekit-1to1-redis-1|0.76%|5.129MiB / 6.698GiB|0.07%
2026-08-05T18:28:09.2759042+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:28:09.2759042+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:28:13.3334113+00:00|livekit-1to1-backend-1|0.08%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:28:13.3334113+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:28:13.3334113+00:00|livekit-1to1-egress-1|0.06%|118.9MiB / 6.698GiB|1.73%
2026-08-05T18:28:13.3334113+00:00|livekit-1to1-livekit-1|7.28%|76.1MiB / 6.698GiB|1.11%
2026-08-05T18:28:13.3334113+00:00|livekit-1to1-redis-1|0.51%|4.875MiB / 6.698GiB|0.07%
2026-08-05T18:28:13.3334113+00:00|livekit-1to1-gateway-1|0.00%|11.43MiB / 6.698GiB|0.17%
2026-08-05T18:28:13.3334113+00:00|livekit-1to1-cloudflared-1|0.00%|20.29MiB / 6.698GiB|0.30%
2026-08-05T18:28:17.3887367+00:00|livekit-1to1-backend-1|0.06%|55.28MiB / 6.698GiB|0.81%
2026-08-05T18:28:17.3887367+00:00|livekit-1to1-frontend-1|0.00%|11.04MiB / 6.698GiB|0.16%
2026-08-05T18:28:17.3887367+00:00|livekit-1to1-egress-1|0.06%|118.9MiB / 6.698GiB|1.73%
